Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,DataPagerGoToLastPage_-193962715,"4,875.1068 us",96.1620 us,121.6141 us,"4,827.6667 us","4,755.1024 us",205.12,-,96.71149%,0%,1.284577%,4.615911%,25.83711%,15.22651%,3.785219%,10.41363%,-,-,-,0.99 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,DataPagerGoToNextPage_609681892,"4,891.2257 us",95.7952 us,143.3817 us,"4,854.6553 us","4,724.4247 us",204.45,-,96.78744%,0%,1.247987%,4.710145%,25.16908%,15.57166%,3.832528%,10.85346%,-,-,-,0.99 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,DataPagerGoToPrevPage_-706878988,"4,975.9663 us",98.5663 us,134.9187 us,"4,908.6373 us","4,823.0627 us",200.97,-,96.8912%,0%,1.607275%,4.874696%,26.27683%,14.59237%,3.997039%,11.48356%,-,-,-,1.03 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c20a1a1a1a1sortBinding_764073321,"5,579.3673 us",119.6629 us,175.4003 us,"5,587.8832 us","5,346.7598 us",179.23,-,96.95837%,0%,1.220593%,4.350822%,24.0378%,13.73167%,4.03583%,11.35939%,-,-,-,1.05 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c20a1a1a2a1sortBinding_946273772,"5,356.0819 us",106.0147 us,137.8490 us,"5,309.8158 us","5,205.8185 us",186.7,-,97.00333%,0%,1.301188%,4.596406%,24.37898%,13.81738%,3.683884%,10.70805%,-,-,-,1.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c20a1a1a4a1sortBinding_-1464146586,"4,995.4712 us",119.2803 us,141.9947 us,"4,925.7542 us","4,875.1003 us",200.18,-,96.98618%,0%,1.276685%,4.824194%,25.52323%,15.01674%,4.928841%,11.13437%,-,-,-,1.04 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c50a1a1a1a1sortBinding_-472100766,"5,027.5443 us",98.6099 us,147.5946 us,"4,965.6159 us","4,873.3739 us",198.9,-,96.93877%,0%,1.216327%,4.685714%,25.69796%,14.6449%,4.726531%,11.2898%,-,-,-,1.05 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c50a1a1a2a1sortBinding_-289900315,"5,408.5093 us",117.4627 us,120.6256 us,"5,351.7457 us","5,292.2893 us",184.89,-,97.15052%,0%,1.264307%,4.65495%,23.41363%,13.40932%,4.35324%,10.78971%,-,-,-,1.07 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c50a1a1a3a1sortBinding_-1422372124,"5,459.5422 us",108.8228 us,125.3205 us,"5,400.3542 us","5,349.7492 us",183.17,-,97.20586%,0%,1.202697%,4.391666%,23.37363%,13.50301%,4.306627%,10.49019%,-,-,-,1.08 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c95a1a1a1a1sortBinding_-1923945149,"5,097.8089 us",100.0116 us,111.1626 us,"5,066.7652 us","4,952.1578 us",196.16,-,96.79177%,0%,1.350833%,4.965846%,26.31054%,14.12234%,4.881419%,11.00622%,-,-,-,1.06 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c95a1a1a2a1sortBinding_539048772,"5,073.8283 us",98.9415 us,156.9317 us,"5,003.4255 us","4,914.2182 us",197.09,-,96.86927%,0%,1.297749%,4.721754%,25.40509%,14.60518%,5.059022%,11.28382%,-,-,-,1.05 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,c95a1a1a3a1sortBinding_684118213,"5,069.1090 us",98.6636 us,121.1678 us,"5,024.1544 us","4,926.5838 us",197.27,-,96.97094%,0%,1.176832%,5.05526%,25.88007%,14.93041%,5.382726%,11.21572%,-,-,-,1.05 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewPagingSorting,?,"4,526.1544 us",33.0477 us,29.2959 us,"4,522.7643 us","4,489.2257 us",220.94,-,96.86749%,29.55364%,1.411129%,5.214171%,22.53803%,0%,0%,12.91033%,-,-,-,1.08 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c21a1a1a1a1sortBinding_-739294748,"2,316.9237 us",44.0310 us,41.1866 us,"2,298.4839 us","2,268.4890 us",431.61,-,100%,0%,1.48249%,6.980385%,32.48798%,17.37034%,2.817827%,28.77628%,9.2188,-,-,0.52 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c21a1a1a2a1sortBinding_543244799,"2,370.9675 us",47.1230 us,77.4245 us,"2,352.1047 us","2,289.6956 us",421.77,-,93.84161%,0%,1.423415%,6.764874%,30.99069%,16.41019%,2.591083%,26.68976%,9.9609,-,-,0.52 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c21a1a1a3a1sortBinding_546680474,"2,372.8394 us",40.4721 us,60.5767 us,"2,373.7872 us","2,287.9555 us",421.44,-,100%,0%,1.520024%,6.6103%,31.68677%,17.5391%,3.320836%,28.71731%,9.2969,-,-,0.52 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c36a1a1a1a1sortBinding_-1374050740,"2,366.5681 us",47.2406 us,64.6635 us,"2,344.7179 us","2,298.6248 us",422.55,-,94.5038%,0%,1.45975%,6.311775%,30.74759%,16.67571%,3.018054%,26.78112%,9.3750,-,-,0.52 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c36a1a1a2a1sortBinding_1786747313,"2,391.5901 us",47.2826 us,58.0672 us,"2,383.2522 us","2,319.3371 us",418.13,-,94.45537%,0%,1.328879%,6.443363%,30.38093%,17.13205%,2.999217%,26.81113%,9.1797,-,-,0.52 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,c36a1a1a3a1sortBinding_-776608362,"2,383.6220 us",46.5917 us,41.3023 us,"2,368.0711 us","2,329.1865 us",419.53,-,94.37982%,0%,1.436006%,6.649269%,30.47164%,16.24574%,3.519248%,26.78874%,9.2188,-,-,0.52 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewRowDecorators,?,"3,591.8089 us",48.4733 us,40.4774 us,"3,578.3875 us","3,555.5113 us",278.41,-,95.8746%,22.96291%,0.8947476%,3.53118%,14.29547%,0%,0%,8.906496%,-,-,-,0.63 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,48Gz4awC02jznr_401047782,"6,969.7727 us",165.8974 us,486.5484 us,"6,819.2968 us","6,459.0304 us",143.48,-,97.66109%,0%,0.7949247%,7.65115%,19.55973%,12.52771%,2.94275%,8.537797%,-,-,-,1.41 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,DataPagerGoToFirstPage_-1861173783,"6,401.0151 us",127.9115 us,183.4469 us,"6,363.6100 us","6,178.4376 us",156.23,-,97.60605%,0%,1.151773%,8.112633%,20.73191%,12.19406%,3.405096%,9.227575%,18.5811,-,-,1.39 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,DataPagerGoToLastPage_-193962715,"5,846.5780 us",115.1086 us,107.6727 us,"5,795.8266 us","5,741.7598 us",171.04,-,97.47182%,0%,1.150231%,7.631226%,20.32463%,13.11963%,3.077013%,8.676359%,-,-,-,1.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,DataPagerGoToNextPage_609681892,"5,881.8789 us",111.9665 us,114.9814 us,"5,823.0760 us","5,758.9970 us",170.01,-,97.40224%,0%,1.149737%,7.711915%,20.61934%,12.40306%,3.096697%,8.774879%,-,-,-,1.29 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,DataPagerGoToPrevPage_-706878988,"6,270.4484 us",164.2839 us,153.6712 us,"6,202.3589 us","6,141.2152 us",159.48,-,97.28974%,0%,1.108061%,7.906164%,20.72873%,11.85925%,3.059646%,9.139007%,4.0625,-,-,1.39 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c20a1a1a1a1sortBinding_764073321,"6,627.8159 us",126.7640 us,124.4992 us,"6,581.4893 us","6,482.9845 us",150.88,-,97.64634%,0%,0.9917712%,7.571239%,20.04384%,11.39818%,2.881886%,8.854074%,19.1761,-,-,1.41 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c20a1a1a2a1sortBinding_946273772,"6,661.5529 us",87.3536 us,77.4367 us,"6,655.9285 us","6,550.9464 us",150.12,-,97.75057%,0%,1.128686%,7.694142%,19.17177%,11.28686%,3.203243%,8.703601%,-,-,-,1.42 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c20a1a1a4a1sortBinding_-1464146586,"6,429.5188 us",124.6315 us,138.5276 us,"6,394.9202 us","6,244.4542 us",155.53,-,97.26093%,0%,1.033058%,8.317592%,20.91499%,11.54663%,3.482881%,8.801653%,-,-,-,1.4 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c50a1a1a1a1sortBinding_-472100766,"6,285.8300 us",123.8709 us,115.8689 us,"6,243.5924 us","6,163.3167 us",159.09,-,97.64001%,0%,1.047148%,8.05418%,20.95337%,11.66971%,3.506121%,8.783537%,-,-,-,1.4 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c50a1a1a2a1sortBinding_-289900315,"6,796.8566 us",125.8541 us,117.7240 us,"6,787.6987 us","6,663.9854 us",147.13,-,97.67797%,0%,0.9762173%,7.918207%,19.11457%,11.02362%,3.350474%,8.834164%,15.3460,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c50a1a1a3a1sortBinding_-1422372124,"6,795.0285 us",135.4949 us,133.0741 us,"6,760.5003 us","6,654.5334 us",147.17,-,97.53322%,0%,0.8261564%,7.189899%,18.90028%,10.84915%,3.238377%,8.499279%,11.3147,-,-,1.43 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c93a1a1a1a1sortBinding_-152223095,"6,385.0452 us",88.1463 us,78.1394 us,"6,360.7111 us","6,281.1762 us",156.62,-,97.69013%,0%,0.9923282%,8.197132%,20.4553%,11.92462%,4.169446%,9.289526%,-,-,-,1.41 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c93a1a1a2a1sortBinding_1727212166,"6,514.4164 us",129.8971 us,138.9884 us,"6,462.1070 us","6,363.4278 us",153.51,-,97.49027%,0%,1.106331%,8.379431%,20.49273%,11.89305%,4.128253%,9.060643%,2.9297,-,-,1.41 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,c93a1a1a3a1sortBinding_-901381113,"6,344.2155 us",86.9462 us,77.0755 us,"6,322.5635 us","6,245.2005 us",157.62,-,97.52847%,0%,0.9187371%,7.552622%,19.96636%,12.71135%,4.19686%,9.855935%,12.2768,-,-,1.41 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewServerRender,?,"5,092.1765 us",80.3618 us,71.2387 us,"5,077.1126 us","5,027.7434 us",196.38,-,97.16932%,37.97748%,1.062822%,8.54467%,18.45733%,0%,0%,11.13333%,-,-,-,1.16 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewSizable,?,"2,254.4872 us",13.1025 us,10.9411 us,"2,252.7799 us","2,240.8503 us",443.56,-,95.79513%,14.16187%,1.522219%,2.460807%,8.203827%,0%,0%,8.554234%,1.1719,-,-,0.27 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,DataPagerGoToFirstPage_-936282650,"2,734.3730 us",262.8086 us,774.8971 us,"2,640.0731 us","1,669.0515 us",365.71,-,100%,0%,1.796178%,4.399831%,28.92612%,14.58287%,6.161777%,32.38557%,1.5625,-,-,0.3 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,DataPagerGoToLastPage_-418809922,"2,653.3396 us",266.0815 us,780.3708 us,"2,562.8804 us","1,660.5882 us",376.88,-,91.10452%,0%,1.604755%,4.086904%,25.4235%,13.54451%,5.99172%,29.69652%,1.9922,-,-,0.3 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,DataPagerGoToNextPage_-626995505,"2,833.1627 us",298.3072 us,879.5656 us,"2,804.5298 us","1,694.5177 us",352.96,-,91.2112%,0%,1.678424%,3.96123%,25.69467%,13.34693%,5.856707%,29.74945%,2.5000,-,-,0.3 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,DataPagerGoToPrevPage_-1957371347,"2,693.7717 us",290.3419 us,851.5224 us,"2,525.7831 us","1,652.5882 us",371.23,-,91.77636%,0%,1.612812%,4.057525%,26.53774%,13.3463%,5.756265%,29.84457%,4.8633,-,-,0.3 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,c18a1a1a1a1sortBinding_-32241459,"2,670.1043 us",268.9271 us,792.9377 us,"2,550.7145 us","1,684.1076 us",374.52,-,91.57373%,0%,1.555032%,4.036503%,25.50218%,13.01344%,6.027914%,28.8287%,1.4063,-,-,0.31 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,c18a1a1a2a1sortBinding_1106530636,"2,648.2673 us",253.3544 us,743.0445 us,"2,527.9966 us","1,696.1858 us",377.61,-,91.21771%,0%,1.555315%,4.019142%,25.36733%,13.03698%,6.101619%,29.16402%,2.0313,-,-,0.31 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,c18a1a1a3a1sortBinding_-44766901,"2,762.5191 us",256.0681 us,755.0226 us,"2,673.4061 us","1,727.3139 us",361.99,-,91.66914%,0%,1.542136%,3.802577%,25.16476%,13.11278%,6.148179%,29.03769%,1.7188,-,-,0.31 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/GridViewStaticCommand,?,"2,834.1774 us",41.6986 us,39.0049 us,"2,821.4196 us","2,793.1503 us",352.84,-,94.93804%,23.87095%,0.95842%,3.001113%,12.97981%,0%,0%,7.09497%,6.6016,-,-,0.46 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/GridView/LargeGrid,?,"425,631.9239 us","6,132.4108 us","5,736.2603 us","423,776.6772 us","416,110.0345 us",2.35,-,99.94089%,49.95371%,0.02007562%,22.11775%,35.24275%,0%,0%,6.804519%,1704.1667,1150.0000,616.6667,121.17 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/HtmlLiteral/HtmlLiteral,?,446.8575 us,3.8687 us,3.4295 us,447.0710 us,442.3082 us,2237.85,-,73.93587%,43.84483%,9.59567%,3.912081%,4.059706%,0%,0%,9.480849%,-,-,-,0.08 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/LinkButton/LinkButton,?,471.6440 us,3.0925 us,2.7414 us,471.0514 us,467.2213 us,2120.24,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.09 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal,?,"2,423.1542 us",219.5459 us,643.8900 us,"2,344.5582 us","1,325.5618 us",412.69,-,91.7324%,21.05654%,5.191985%,2.349999%,2.204326%,0%,0%,59.75043%,-,-,-,0.17 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal_ArrayLength,KRLbGGeJnkDwMoN8_555080020,475.3876 us,6.4199 us,6.0052 us,476.3504 us,465.3706 us,2103.55,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal_ArrayLength,?,480.5819 us,2.0133 us,1.7847 us,480.9026 us,477.4997 us,2080.81,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal_CollectionLength,KRLbGGeJnkDwMoN8_555080020,493.9611 us,6.0830 us,5.6900 us,493.3694 us,485.7108 us,2024.45,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.06 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal_CollectionLength,?,497.8632 us,2.0085 us,1.7805 us,497.9529 us,494.3304 us,2008.58,-,0%,0%,0%,0%,0%,0%,0%,0%,-,-,-,0.07 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/Literal/Literal_FormatString,?,"2,495.8943 us",258.4238 us,761.9685 us,"2,386.9255 us","1,316.8638 us",400.66,-,89.07674%,19.69863%,3.853914%,1.877155%,1.657515%,0%,0%,60.4214%,-,-,-,0.15 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/RadioButton/RadioButton,P0dykU4fikgzxb6_-1507631344,699.3578 us,6.8580 us,6.4150 us,699.9693 us,686.3794 us,1429.88,-,100%,0%,5.300176%,4.653353%,26.10525%,13.9475%,7.052248%,17.01206%,-,-,-,0.13 MB
