Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Url,SerializedViewModel,Mean,Error,StdDev,Median,Min,Op/s,ETW log file,ProcessRequest,WriteHtmlResponse,BuildView,BindableObject.GetValue,Lifecycle events,Deserialize,ResolveCommand,Serialize,Gen 0,Gen 1,Gen 2,Allocated
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToLastPage_-168433820,"2,707.4912 us",259.5767 us,765.3679 us,"2,665.7862 us","1,552.9912 us",369.35,-,94.77518%,0%,2.052946%,4.705927%,24.82782%,7.86271%,13.00828%,7.124931%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToLastPage_-168433820,"3,308.0484 us",247.0906 us,728.5521 us,"3,324.2175 us","1,768.6503 us",302.29,-,94.96829%,0%,2.223404%,4.535429%,25.35153%,7.855764%,12.97215%,6.878963%,-,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToLastPage_-168433820,"3,098.8675 us",281.9333 us,831.2868 us,"3,008.5215 us","1,581.1864 us",322.7,-,94.7599%,0%,2.079643%,4.402397%,25.25819%,7.782406%,12.55136%,7.31597%,3.1250,-,-,0.22 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToNextPage_554381771,"1,186.0466 us",4.4540 us,3.7193 us,"1,186.5724 us","1,178.7311 us",843.14,-,95.11327%,0%,4.946033%,6.440517%,33.09216%,10.50884%,18.1829%,10.72233%,-,-,-,0.21 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToNextPage_554381771,"1,176.8740 us",4.4074 us,3.6803 us,"1,176.9045 us","1,168.8149 us",849.71,-,94.77304%,0%,4.814305%,6.062095%,33.70996%,10.34584%,17.75398%,10.88622%,-,-,-,0.21 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToNextPage_554381771,"1,181.5877 us",5.3073 us,4.4319 us,"1,182.2504 us","1,171.6534 us",846.32,-,100%,0%,4.354819%,6.915749%,36.6943%,11.23345%,18.44612%,10.62724%,-,-,-,0.21 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToPrevPage_390886193,"1,201.1097 us",37.6452 us,36.9726 us,"1,189.4703 us","1,179.9836 us",832.56,-,100%,0%,4.19097%,6.815727%,35.43962%,11.68719%,18.54612%,11.56837%,-,-,-,0.21 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToPrevPage_390886193,"1,175.6626 us",3.5864 us,3.3548 us,"1,175.6145 us","1,169.1704 us",850.58,-,94.49552%,0%,4.809052%,6.082036%,33.68694%,11.39793%,16.24234%,10.89109%,-,-,-,0.21 MB
DotvvmPostbackBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,DataPagerGoToPrevPage_390886193,"1,168.6137 us",5.6982 us,5.0513 us,"1,168.4188 us","1,157.7420 us",855.71,-,100%,0%,4.478735%,6.43583%,35.93024%,11.20311%,18.76803%,10.98984%,-,-,-,0.21 MB
DotvvmGetBenchmarks`1,TestDotvvmRequest,Default,False,Default,Default,Default,Default,Default,Default,255,LegacyJit,X86,Clr,False,True,False,True,False,True,Default,Default,Default,1,Default,Default,Default,Default,16,Default,/ControlSamples/DataPager/DataPager,?,"2,264.6378 us",45.0263 us,121.7313 us,"2,207.7246 us","2,176.8373 us",441.57,-,95.6021%,51.67992%,1.291635%,5.315777%,36.83669%,0%,0%,5.118994%,9.6484,-,-,0.54 MB
